iter	Passed	Remaining
475	633	697
476	634	695
477	635	694
478	636	692
479	637	690
480	638	689
481	639	687
482	640	685
483	641	683
484	642	682
485	643	680
486	658	693
487	659	692
488	661	691
489	662	689
490	663	687
491	664	686
492	665	684
493	666	682
494	667	680
495	668	679
496	669	677
497	670	675
498	671	674
499	672	672
500	673	671
501	676	670
502	677	668
503	678	667
504	679	665
505	679	663
506	680	662
507	681	660
508	682	658
509	683	656
510	684	655
511	685	653
512	686	652
513	687	650
514	689	648
515	690	647
516	691	646
517	692	644
518	693	642
519	694	640
520	695	639
521	696	637
522	697	635
523	698	634
524	699	632
525	700	631
526	701	629
527	702	627
528	702	625
529	704	624
530	705	622
531	706	621
532	706	619
533	707	617
534	708	616
535	709	614
536	710	612
537	711	611
538	712	609
539	713	607
540	714	606
541	715	604
542	716	603
543	718	602
544	719	600
545	720	599
546	721	597
547	722	595
548	723	594
549	724	592
550	725	590
551	725	589
552	726	587
553	727	585
554	728	584
555	729	582
556	730	581
557	731	579
558	733	578
559	734	576
560	735	575
561	736	573
562	736	572
563	737	570
564	738	568
565	739	567
566	741	565
567	741	564
568	742	562
569	743	561
570	744	559
571	745	557
572	747	556
573	748	555
574	749	553
575	750	552
576	751	550
577	752	549
578	752	547
579	754	546
580	755	544
581	756	542
582	757	541
583	758	540
584	759	538
585	761	537
586	762	536
587	764	535
588	765	533
589	766	532
590	767	530
591	767	529
592	768	527
593	769	526
594	770	524
595	771	523
596	772	521
597	773	520
598	774	518
599	776	517
600	777	515
601	778	514
602	778	512
603	779	511
604	780	509
605	781	508
606	782	506
607	783	504
608	784	503
609	784	501
610	785	500
611	786	498
612	787	497
613	788	495
614	791	495
615	792	493
616	793	492
617	793	490
618	794	489
619	795	487
620	796	486
621	797	484
622	798	482
623	798	481
624	800	480
625	801	478
626	801	477
627	802	475
628	804	474
629	805	473
630	806	471
631	807	470
632	808	468
633	809	467
634	809	465
635	810	464
636	811	462
637	812	461
638	813	459
639	814	457
640	815	456
641	815	454
642	816	453
643	817	451
644	818	450
645	819	449
646	820	447
647	821	446
648	822	444
649	823	443
650	824	441
651	825	440
652	825	438
653	826	437
654	827	435
655	828	434
656	829	432
657	829	431
658	830	429
659	831	428
660	832	427
661	834	425
662	834	424
663	835	422
664	836	421
665	837	420
666	838	418
667	839	417
668	839	415
669	840	414
670	841	412
671	842	411
672	843	409
673	844	408
674	845	406
675	846	405
676	847	404
677	848	402
678	849	401
679	850	400
680	851	398
681	851	397
682	852	395
683	853	394
684	854	392
685	855	391
686	856	390
687	857	388
688	857	387
689	858	385
690	859	384
691	860	382
692	861	381
693	862	380
694	863	379
695	864	377
696	865	376
697	866	374
698	867	373
699	868	372
700	869	370
701	870	369
702	871	367
703	871	366
704	872	365
705	873	363
706	874	362
707	875	360
708	876	359
709	877	358
710	878	357
711	879	355
712	880	354
713	881	353
714	882	351
715	883	350
716	884	349
717	885	347
718	886	346
719	887	345
720	887	343
721	888	342
722	889	340
723	891	339
724	892	338
725	893	337
726	893	335
727	894	334
728	895	332
729	896	331
730	897	330
731	897	328
732	898	327
733	899	325
734	900	324
735	901	323
736	901	321
737	902	320
738	903	319
739	904	317
740	905	316
741	906	315
742	907	313
743	908	312
744	909	311
745	909	309
746	910	308
747	911	307
748	912	305
749	913	304
750	914	303
751	914	301
752	915	300
753	916	298
754	917	297
755	918	296
756	918	294
757	919	293
758	921	292
759	921	291
760	922	289
761	923	288
762	924	287
763	925	285
764	926	284
765	927	283
766	928	281
767	929	280
768	929	279
769	930	278
770	931	276
771	932	275
772	933	274
773	934	272
774	935	271
775	936	270
776	937	268
777	937	267
778	938	266
779	939	264
780	940	263
781	940	262
782	941	261
783	942	259
784	943	258
785	944	257
786	945	255
787	945	254
788	946	253
789	947	251
790	948	250
791	949	249
792	950	248
793	951	246
794	952	245
795	952	244
796	953	242
797	954	241
798	955	240
799	956	239
800	957	237
801	957	236
802	958	235
803	959	233
804	960	232
805	960	231
806	961	229
807	962	228
808	963	227
809	964	226
810	965	224
811	966	223
812	967	222
813	967	221
814	968	219
815	969	218
816	970	217
817	971	216
818	972	214
819	972	213
820	973	212
821	974	211
822	975	209
823	976	208
824	976	207
825	977	205
826	978	204
827	979	203
828	980	202
829	981	201
830	982	199
831	983	198
832	983	197
833	984	195
834	985	194
835	986	193
836	987	192
837	987	190
838	988	189
839	989	188
840	990	187
841	991	186
842	992	184
843	992	183
844	994	182
845	995	181
846	996	179
847	997	178
848	998	177
849	999	176
850	999	175
851	1000	173
852	1001	172
853	1002	171
854	1003	170
855	1003	168
856	1004	167
857	1005	166
858	1006	165
859	1007	164
860	1009	162
861	1010	161
862	1010	160
863	1011	159
864	1012	158
865	1013	156
866	1013	155
867	1014	154
868	1015	153
869	1016	151
870	1016	150
871	1017	149
872	1018	148
873	1019	146
874	1019	145
875	1020	144
876	1021	143
877	1021	142
878	1022	140
879	1023	139
880	1024	138
881	1025	137
882	1026	136
883	1028	134
884	1028	133
885	1029	132
886	1030	131
887	1031	130
888	1032	128
889	1033	127
890	1034	126
891	1034	125
892	1035	124
893	1036	122
894	1037	121
895	1039	120
896	1039	119
897	1040	118
898	1041	117
899	1042	115
900	1043	114
901	1044	113
902	1044	112
903	1045	111
904	1046	109
905	1047	108
906	1047	107
907	1048	106
908	1049	105
909	1050	103
910	1051	102
911	1052	101
912	1054	100
913	1054	99
914	1055	98
915	1056	96
916	1057	95
917	1058	94
918	1059	93
919	1059	92
920	1060	90
921	1061	89
922	1062	88
923	1063	87
924	1063	86
925	1064	85
926	1065	83
927	1066	82
928	1068	81
929	1068	80
930	1069	79
931	1070	78
932	1071	76
933	1072	75
934	1073	74
935	1073	73
936	1074	72
937	1075	71
938	1076	69
939	1076	68
940	1077	67
941	1078	66
942	1079	65
943	1079	64
944	1080	62
945	1081	61
946	1082	60
947	1083	59
948	1084	58
949	1085	57
950	1086	55
951	1086	54
952	1087	53
953	1088	52
954	1089	51
955	1090	50
956	1091	49
957	1092	47
958	1092	46
959	1093	45
960	1094	44
961	1095	43
962	1112	42
963	1115	41
964	1116	40
965	1118	39
966	1120	38
967	1121	37
968	1123	35
969	1124	34
970	1126	33
971	1129	32
972	1131	31
973	1132	30
974	1134	29
975	1136	27
976	1137	26
977	1139	25
978	1140	24
979	1143	23
980	1145	22
981	1146	21
982	1148	19
983	1149	18
984	1151	17
985	1153	16
986	1154	15
987	1159	14
988	1160	12
989	1161	11
990	1162	10
991	1164	9
992	1165	8
993	1166	7
994	1167	5
995	1168	4
996	1169	3
997	1170	2
998	1172	1
999	1173	0
